CampaignID,CampaignName,CampaignType,TargetIndustry,Budget,ExpectedLeads,ExpectedRevenue,StartDate,EndDate,Status
CMP0001,AI Facebook 2023,Email,Healthcare,204393,381,1839537,2022-08-17,2022-09-22,Planned
CMP0002,AI Facebook 2024,Google Ads,Retail,17811,195,249354,2024-05-14,2024-06-21,Completed
CMP0003,CRM Email 2025,Referral,Education,82926,928,995112,2024-07-08,2025-01-04,Completed
CMP0004,HRMS LinkedIn 2022,Trade Show,Education,36793,194,441516,2023-03-17,2023-07-11,Completed
CMP0005,ERP Webinar 2023,Trade Show,Retail,42722,487,384498,2024-07-29,2025-01-12,Completed
CMP0006,AI LinkedIn 2024,Referral,Manufacturing,30916,975,463740,2023-04-12,2023-07-25,Planned
CMP0007,AI Webinar 2025,LinkedIn,Finance,107040,463,1177440,2024-01-18,2024-03-29,Completed
CMP0008,AI Trade Show 2022,Google Ads,Retail,80765,755,646120,2024-08-04,2024-12-09,Active
CMP0009,Cyber Security Facebook 2023,SEO,Telecom,27350,316,410250,2024-04-01,2024-07-08,Completed
CMP0010,Analytics Referral 2024,Referral,Education,74651,862,821161,2023-06-27,2023-08-31,Completed
CMP0011,CRM LinkedIn 2025,Email,Finance,33831,873,473634,2024-11-09,2025-04-14,Planned
CMP0012,Data Platform Webinar 2022,Google Ads,Healthcare,110039,710,1320468,2022-05-11,2022-09-16,Planned
CMP0013,Cloud SEO 2023,Google Ads,Manufacturing,86939,545,869390,2023-11-28,2024-01-25,Planned
CMP0014,AI Email 2024,Trade Show,Finance,230638,754,1845104,2022-08-06,2022-11-20,Planned
CMP0015,Cyber Security Webinar 2025,Facebook,Software,15105,214,166155,2023-10-26,2024-03-29,Planned
CMP0016,ERP Email 2022,Email,Logistics,201865,597,2018650,2022-06-11,2022-08-01,Active
CMP0017,AI Webinar 2023,Referral,Education,65521,652,982815,2024-12-16,2025-05-03,Planned
CMP0018,ERP Trade Show 2024,Google Ads,Retail,74986,330,824846,2024-07-13,2024-09-11,Completed
CMP0019,CRM Trade Show 2025,LinkedIn,Retail,70015,169,840180,2022-05-26,2022-07-10,Planned
CMP0020,Data Platform Facebook 2022,SEO,Telecom,151356,235,1664916,2024-09-21,2024-12-14,Completed
CMP0021,HRMS SEO 2023,Google Ads,Healthcare,102876,533,823008,2022-07-18,2022-12-05,Active
CMP0022,AI SEO 2024,Email,Telecom,75183,296,751830,2023-11-26,2024-01-22,Active
CMP0023,Data Platform LinkedIn 2025,Google Ads,Software,239241,177,2153169,2024-08-05,2024-11-06,Completed
CMP0024,AI Referral 2022,Google Ads,Finance,137307,592,1922298,2022-12-07,2023-04-20,Completed
CMP0025,Data Platform Webinar 2023,Referral,Logistics,215539,903,2155390,2024-03-10,2024-06-15,Completed
CMP0026,CRM Trade Show 2024,Google Ads,Software,25331,693,379965,2023-08-31,2023-11-24,Planned
CMP0027,ERP Email 2025,LinkedIn,Healthcare,24910,620,274010,2024-12-23,2025-03-03,Active
CMP0028,CRM LinkedIn 2022,Referral,Education,74543,692,894516,2022-09-03,2023-02-25,Completed
CMP0029,Cloud Webinar 2023,SEO,Education,79629,505,716661,2023-10-06,2024-01-05,Completed
CMP0030,AI Webinar 2024,Email,Education,36209,175,325881,2024-07-27,2025-01-17,Completed
CMP0031,Analytics Google Ads 2025,Webinar,Healthcare,51352,548,513520,2024-01-27,2024-05-08,Active
CMP0032,Cloud Webinar 2022,Webinar,Retail,204620,666,2660060,2022-08-25,2022-10-21,Completed
CMP0033,CRM LinkedIn 2023,Referral,Manufacturing,138065,357,1104520,2023-06-25,2023-12-01,Completed
CMP0034,Cloud SEO 2024,Referral,Software,177015,368,1593135,2023-11-15,2024-01-17,Completed
CMP0035,Cyber Security Email 2025,Referral,Finance,19444,954,155552,2022-11-02,2023-04-20,Active
CMP0036,AI Facebook 2022,LinkedIn,Education,245647,466,3439058,2024-01-17,2024-02-26,Planned
CMP0037,Cloud Referral 2023,Google Ads,Finance,236651,266,3076463,2022-11-13,2023-02-11,Active
CMP0038,ERP Referral 2024,Google Ads,Logistics,51732,906,569052,2023-05-24,2023-08-30,Completed
CMP0039,AI Facebook 2025,Google Ads,Retail,90003,940,1260042,2024-07-31,2024-11-27,Active
CMP0040,Cyber Security Referral 2022,Trade Show,Software,212722,385,1914498,2023-07-25,2023-09-10,Active
CMP0041,ERP Referral 2023,Trade Show,Education,79590,139,1114260,2023-01-01,2023-06-28,Planned
CMP0042,AI Webinar 2024,Google Ads,Telecom,110976,690,887808,2024-11-13,2025-01-11,Planned
CMP0043,ERP Trade Show 2025,Trade Show,Healthcare,105478,541,1265736,2025-01-07,2025-03-28,Planned
CMP0044,Analytics Email 2022,Facebook,Telecom,95506,512,1337084,2023-09-26,2024-02-07,Planned
CMP0045,CRM Webinar 2023,Webinar,Retail,88892,515,1244488,2022-12-23,2023-06-16,Planned
CMP0046,AI SEO 2024,Email,Healthcare,125811,552,1509732,2023-10-22,2024-03-19,Planned
CMP0047,AI Webinar 2025,Facebook,Retail,224544,869,2245440,2023-11-18,2024-01-10,Completed
CMP0048,ERP SEO 2022,Referral,Retail,134554,725,1883756,2022-04-05,2022-07-06,Active
CMP0049,CRM LinkedIn 2023,Referral,Retail,48684,771,486840,2024-03-29,2024-06-29,Planned
CMP0050,AI LinkedIn 2024,SEO,Finance,23164,670,347460,2024-11-26,2025-04-23,Planned
CMP0051,Data Platform Referral 2025,SEO,Finance,166094,424,2491410,2024-12-23,2025-06-14,Active
CMP0052,Analytics SEO 2022,Facebook,Manufacturing,230165,752,3452475,2023-06-15,2023-09-16,Completed
CMP0053,Cyber Security LinkedIn 2023,Email,Finance,81228,443,893508,2023-08-09,2023-11-07,Active
CMP0054,HRMS Trade Show 2024,SEO,Telecom,26837,524,214696,2022-11-09,2023-02-01,Completed
CMP0055,CRM Referral 2025,SEO,Software,247197,888,3213561,2024-05-10,2024-09-16,Active
CMP0056,AI SEO 2022,Facebook,Manufacturing,151091,865,2115274,2024-03-09,2024-07-24,Active
CMP0057,HRMS Email 2023,SEO,Finance,98114,784,784912,2022-03-01,2022-07-08,Active
CMP0058,HRMS Email 2024,SEO,Finance,32006,758,256048,2025-03-01,2025-04-06,Active
CMP0059,Cyber Security Trade Show 2025,Referral,Manufacturing,65485,565,916790,2024-02-16,2024-06-08,Active
CMP0060,CRM Trade Show 2022,Facebook,Healthcare,15081,867,120648,2022-06-17,2022-11-14,Completed
CMP0061,Cloud Facebook 2023,Email,Logistics,229998,120,2069982,2023-05-22,2023-08-11,Planned
CMP0062,Cyber Security Email 2024,LinkedIn,Finance,193360,362,2320320,2023-03-23,2023-08-19,Completed
CMP0063,HRMS Referral 2025,Facebook,Healthcare,91777,689,1009547,2025-03-31,2025-05-06,Completed
CMP0064,CRM Trade Show 2022,Referral,Education,218726,679,1968534,2023-09-10,2023-11-09,Planned
CMP0065,Data Platform LinkedIn 2023,Referral,Education,232711,530,3490665,2023-11-30,2024-01-02,Planned
CMP0066,Analytics SEO 2024,SEO,Telecom,56173,851,674076,2022-11-10,2023-03-31,Active
CMP0067,AI SEO 2025,Referral,Education,83119,561,664952,2023-05-18,2023-07-09,Active
CMP0068,Cyber Security Webinar 2022,Trade Show,Manufacturing,137808,317,1653696,2023-10-28,2024-01-12,Planned
CMP0069,AI Referral 2023,SEO,Retail,60084,187,901260,2022-01-21,2022-07-02,Planned
CMP0070,ERP Webinar 2024,Facebook,Telecom,217862,117,2396482,2024-10-02,2025-02-23,Active
CMP0071,Cyber Security Referral 2025,Trade Show,Education,134062,666,2010930,2025-04-06,2025-08-08,Active
CMP0072,AI Trade Show 2022,LinkedIn,Finance,70434,223,774774,2023-09-20,2023-12-23,Completed
CMP0073,Analytics LinkedIn 2023,Facebook,Manufacturing,199945,703,2199395,2024-09-18,2024-12-27,Active
CMP0074,Cloud Webinar 2024,Google Ads,Software,13708,825,164496,2023-01-03,2023-04-20,Planned
CMP0075,CRM Webinar 2025,SEO,Logistics,36892,993,553380,2022-09-16,2023-02-18,Active
CMP0076,Data Platform LinkedIn 2022,LinkedIn,Telecom,76185,982,1142775,2023-01-13,2023-02-25,Completed
CMP0077,Analytics LinkedIn 2023,Facebook,Healthcare,49774,252,696836,2025-03-27,2025-05-09,Planned
CMP0078,Data Platform Webinar 2024,Referral,Manufacturing,109713,561,877704,2023-04-08,2023-09-18,Planned
CMP0079,Analytics LinkedIn 2025,Email,Retail,173975,316,1739750,2022-07-23,2022-10-14,Planned
CMP0080,Data Platform SEO 2022,Webinar,Software,10701,518,117711,2022-06-03,2022-08-12,Active
CMP0081,AI Webinar 2023,Facebook,Telecom,28659,803,257931,2023-08-03,2023-12-27,Planned
CMP0082,Cloud LinkedIn 2024,Google Ads,Finance,248134,372,2977608,2023-04-06,2023-06-13,Planned
CMP0083,Data Platform Webinar 2025,Referral,Manufacturing,125121,227,1876815,2025-03-11,2025-06-22,Active
CMP0084,Cyber Security Webinar 2022,Google Ads,Healthcare,243156,542,2674716,2022-06-14,2022-07-24,Planned
CMP0085,Analytics Google Ads 2023,Email,Logistics,15438,883,231570,2025-03-24,2025-09-20,Active
CMP0086,Data Platform LinkedIn 2024,SEO,Education,124264,750,1739696,2023-01-07,2023-07-05,Active
CMP0087,Cyber Security Referral 2025,SEO,Manufacturing,234849,264,3287886,2023-10-20,2023-12-15,Planned
CMP0088,Analytics Trade Show 2022,LinkedIn,Telecom,33084,422,264672,2022-03-17,2022-08-10,Planned
CMP0089,AI Trade Show 2023,SEO,Logistics,118330,155,946640,2025-01-16,2025-06-13,Completed
CMP0090,Data Platform SEO 2024,LinkedIn,Software,44344,394,487784,2023-07-01,2023-12-18,Planned
CMP0091,HRMS LinkedIn 2025,Facebook,Healthcare,154399,114,2315985,2022-11-21,2023-03-10,Completed
CMP0092,Analytics Referral 2022,SEO,Logistics,197853,398,2176383,2022-11-12,2023-04-18,Active
CMP0093,Cloud LinkedIn 2023,Webinar,Telecom,110554,295,1437202,2025-02-02,2025-04-10,Planned
CMP0094,Analytics SEO 2024,Email,Logistics,84144,843,1262160,2023-07-02,2023-08-01,Active
CMP0095,HRMS SEO 2025,Trade Show,Retail,209982,656,2309802,2023-11-12,2024-05-01,Planned
CMP0096,HRMS Google Ads 2022,Trade Show,Logistics,234398,894,3281572,2024-02-24,2024-05-23,Active
CMP0097,Cyber Security LinkedIn 2023,SEO,Healthcare,19704,229,295560,2022-11-08,2023-04-13,Completed
CMP0098,Cloud LinkedIn 2024,SEO,Manufacturing,238309,770,3098017,2022-10-23,2023-03-06,Planned
CMP0099,HRMS Trade Show 2025,SEO,Software,233285,436,2099565,2024-03-25,2024-05-14,Completed
CMP0100,HRMS LinkedIn 2022,LinkedIn,Logistics,205760,192,2057600,2023-08-12,2023-11-08,Planned
CMP0101,CRM Webinar 2023,Trade Show,Education,22056,432,308784,2023-09-06,2023-10-13,Completed
CMP0102,Cloud Email 2024,Email,Healthcare,118016,679,1652224,2023-05-16,2023-10-28,Planned
CMP0103,Cloud Facebook 2025,SEO,Manufacturing,249292,697,3739380,2023-05-09,2023-10-13,Active
CMP0104,Cloud LinkedIn 2022,SEO,Education,246246,394,2954952,2022-01-20,2022-06-18,Planned
CMP0105,Analytics Facebook 2023,Referral,Logistics,129756,965,1167804,2024-05-18,2024-08-20,Completed
CMP0106,Analytics Webinar 2024,Google Ads,Telecom,104098,688,1249176,2024-02-21,2024-08-15,Completed
CMP0107,Data Platform Webinar 2025,Facebook,Education,248712,720,2735832,2025-03-05,2025-04-16,Planned
CMP0108,Cloud LinkedIn 2022,Google Ads,Manufacturing,187671,873,2815065,2023-01-25,2023-04-29,Completed
CMP0109,ERP Webinar 2023,Trade Show,Telecom,201983,234,2019830,2025-04-01,2025-08-02,Completed
CMP0110,Analytics Email 2024,Webinar,Logistics,239758,474,2877096,2022-09-28,2023-03-15,Planned
CMP0111,Cloud Facebook 2025,Referral,Education,132770,177,1194930,2023-11-25,2024-01-23,Active
CMP0112,Data Platform Trade Show 2022,Webinar,Telecom,150659,226,1958567,2022-01-29,2022-05-06,Completed
CMP0113,Cyber Security Facebook 2023,LinkedIn,Logistics,16560,734,198720,2023-04-24,2023-09-21,Planned
CMP0114,CRM Webinar 2024,SEO,Healthcare,46641,146,419769,2024-04-16,2024-06-14,Completed
CMP0115,Cyber Security Referral 2025,Email,Telecom,111881,564,1006929,2025-01-05,2025-03-10,Active
CMP0116,Cyber Security Facebook 2022,SEO,Logistics,18576,806,204336,2024-04-15,2024-07-25,Active
CMP0117,Cyber Security Google Ads 2023,Referral,Manufacturing,152728,760,1680008,2022-07-23,2022-11-24,Completed
CMP0118,CRM Google Ads 2024,Trade Show,Retail,183740,317,1837400,2024-07-20,2024-09-11,Planned
CMP0119,AI Facebook 2025,Facebook,Education,227531,883,2275310,2023-02-25,2023-04-13,Planned
CMP0120,Cloud Webinar 2022,Email,Healthcare,235026,248,1880208,2022-01-06,2022-04-16,Completed
